trial_name,trial_id,controller_name,time,step_count,absolute_mechanical_work,active_contact_count,base_acceleration_magnitude,completion_time,forward_progress,grasp_full_wrench_rank,grasp_isotropy,lateral_drift_abs,maximum_friction_ratio,maximum_joint_limit_utilisation,maximum_leg_effort_utilisation,minimum_grasp_singular_value,normal_drift_abs,normalised_load_share_entropy,rung_advancement,slipping_contact_count,successful_regrasp_count,task_success
gait_trial_1,1,gait,0.1160000000,58,303.4731538808,0,10.4575131026,,0.2444390302,False,0.0000000000,0.2023567161,0.0000000000,0.4702127694,1.0000000000,0.0000000000,0.0258945066,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1180000000,59,304.6567490185,0,9.8759816484,,0.2484732478,False,0.0000000000,0.2059983529,0.0000000000,0.4696942764,1.0000000000,0.0000000000,0.0264744234,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1200000000,60,305.7303773868,0,5.4801486897,,0.2525092008,False,0.0000000000,0.2096223298,0.0000000000,0.4692160219,1.0000000000,0.0000000000,0.0270660613,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1220000000,61,306.6985427719,0,5.8087610767,,0.2565463931,False,0.0000000000,0.2132252715,0.0000000000,0.4687765759,1.0000000000,0.0000000000,0.0276662240,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1240000000,62,307.5632678725,0,6.9508465572,,0.2605847639,False,0.0000000000,0.2168012329,0.0000000000,0.4683459264,1.0000000000,0.0000000000,0.0282696815,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1260000000,63,308.4285667392,0,6.8707660202,,0.2646219926,False,0.0000000000,0.2203748415,0.0000000000,0.4679175813,1.0000000000,0.0000000000,0.0288984746,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1280000000,64,309.2750834372,0,6.7011809096,,0.2686580973,False,0.0000000000,0.2239486351,0.0000000000,0.4674884511,1.0000000000,0.0000000000,0.0295515400,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1300000000,65,310.0944781316,0,6.3553857701,,0.2726930978,False,0.0000000000,0.2275240584,0.0000000000,0.4670570128,1.0000000000,0.0000000000,0.0302271685,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1320000000,66,310.8846983350,0,5.8413006966,,0.2767270708,False,0.0000000000,0.2311018955,0.0000000000,0.4666230558,1.0000000000,0.0000000000,0.0309230801,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1340000000,67,311.6466589508,0,5.2469332133,,0.2807600972,False,0.0000000000,0.2346825110,0.0000000000,0.4661879209,1.0000000000,0.0000000000,0.0316367718,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1360000000,68,312.3821235758,0,4.6736669547,,0.2847921747,False,0.0000000000,0.2382659861,0.0000000000,0.4657538933,1.0000000000,0.0000000000,0.0323659224,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1380000000,69,313.0936835418,0,3.9310529648,,0.2888232221,False,0.0000000000,0.2418522187,0.0000000000,0.4653223074,1.0000000000,0.0000000000,0.0331075815,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1400000000,70,313.7847699705,0,3.3235034899,,0.2928533047,False,0.0000000000,0.2454409927,0.0000000000,0.4649142762,1.0000000000,0.0000000000,0.0338593452,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1420000000,71,314.3974201863,0,4.0374429095,,0.2968778127,False,0.0000000000,0.2490196350,0.0000000000,0.4645321732,1.0000000000,0.0000000000,0.0346032626,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1440000000,72,314.9407541213,0,4.3665566283,,0.3008955339,False,0.0000000000,0.2525880028,0.0000000000,0.4641761980,1.0000000000,0.0000000000,0.0353390729,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1460000000,73,315.4272633131,0,4.4195045244,,0.3049055110,False,0.0000000000,0.2561466116,0.0000000000,0.4638453929,1.0000000000,0.0000000000,0.0360672683,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1480000000,74,315.8669969554,0,4.3347945840,,0.3089070188,False,0.0000000000,0.2596962812,0.0000000000,0.4637425700,1.0000000000,0.0000000000,0.0367886827,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1500000000,75,316.2686210357,0,4.1585962210,,0.3128995175,False,0.0000000000,0.2632381014,0.0000000000,0.4638187891,1.0000000000,0.0000000000,0.0375042717,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1520000000,76,316.6391560732,0,3.9806563632,,0.3168826086,False,0.0000000000,0.2667731580,0.0000000000,0.4639098845,1.0000000000,0.0000000000,0.0382148603,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1540000000,77,316.9848201017,0,3.8609139546,,0.3208559497,False,0.0000000000,0.2703023487,0.0000000000,0.4640097348,1.0000000000,0.0000000000,0.0389210034,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1560000000,78,317.3098807705,0,3.8089775335,,0.3248192104,False,0.0000000000,0.2738263740,0.0000000000,0.4641108250,1.0000000000,0.0000000000,0.0396229129,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1580000000,79,317.6194038430,0,3.6140815311,,0.3287723133,False,0.0000000000,0.2773461441,0.0000000000,0.4642074041,1.0000000000,0.0000000000,0.0403216129,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1600000000,80,317.9165182894,0,3.4788799881,,0.3327152225,False,0.0000000000,0.2808623419,0.0000000000,0.4642943271,1.0000000000,0.0000000000,0.0410180001,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1620000000,81,318.2037773006,0,3.3458158574,,0.3366480247,False,0.0000000000,0.2843755662,0.0000000000,0.4643675852,1.0000000000,0.0000000000,0.0417129594,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1640000000,82,318.4815632255,0,3.3119132461,,0.3405706500,False,0.0000000000,0.2878860803,0.0000000000,0.4644235980,1.0000000000,0.0000000000,0.0424069955,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1660000000,83,318.7519240881,0,3.1987211089,,0.3444832716,False,0.0000000000,0.2913944073,0.0000000000,0.4644632854,1.0000000000,0.0000000000,0.0431008547,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1680000000,84,319.0165313551,0,3.1164128985,,0.3483860547,False,0.0000000000,0.2949010018,0.0000000000,0.4644892575,1.0000000000,0.0000000000,0.0437952352,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1700000000,85,319.2768212554,0,3.0497131553,,0.3522791891,False,0.0000000000,0.2984062591,0.0000000000,0.4644686332,1.0000000000,0.0000000000,0.0444907932,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1720000000,86,319.5664717517,0,3.6083691356,,0.3561662896,False,0.0000000000,0.3019166110,0.0000000000,0.4644000989,1.0000000000,0.0000000000,0.0451963489,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1740000000,87,319.8669518054,0,3.4562267522,,0.3600483559,False,0.0000000000,0.3054327405,0.0000000000,0.4642838190,0.9407766063,0.0000000000,0.0459112300,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1760000000,88,320.1655407146,0,3.1967102082,,0.3639257696,False,0.0000000000,0.3089548061,0.0000000000,0.4641221074,0.8633658275,0.0000000000,0.0466339703,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1780000000,89,320.4565203885,0,2.9300187889,,0.3677986764,False,0.0000000000,0.3124825998,0.0000000000,0.4639186574,0.7949877616,0.0000000000,0.0473630175,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1800000000,90,320.7365849967,0,2.6600204474,,0.3716672914,False,0.0000000000,0.3160156553,0.0000000000,0.4636778924,0.7336995667,0.0000000000,0.0480969932,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1820000000,91,321.0041530831,0,2.3979212796,,0.3755318819,False,0.0000000000,0.3195534031,0.0000000000,0.4634011048,0.6781075876,0.0000000000,0.0488346951,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1840000000,92,321.2725387934,0,2.6409146893,,0.3793948696,False,0.0000000000,0.3230980400,0.0000000000,0.4630986213,0.6224879264,0.0000000000,0.0495772592,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1860000000,93,321.5387739991,0,2.0066028875,,0.3832558876,False,0.0000000000,0.3266479663,0.0000000000,0.4628230876,0.5703049222,0.0000000000,0.0503227299,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1880000000,94,321.7868964514,0,2.9147778413,,0.3871096495,False,0.0000000000,0.3301954172,0.0000000000,0.4625764087,0.5919025723,0.0000000000,0.0510609111,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1900000000,95,322.0163318686,0,2.9020153289,,0.3909561151,False,0.0000000000,0.3337398695,0.0000000000,0.4623570229,0.6033625702,0.0000000000,0.0517928424,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1920000000,96,322.2294128522,0,2.8647844305,,0.3947952910,False,0.0000000000,0.3372810290,0.0000000000,0.4621619509,0.6057211489,0.0000000000,0.0525195089,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1940000000,97,322.4323902582,0,2.7931989878,,0.3986271719,False,0.0000000000,0.3408189291,0.0000000000,0.4619531326,0.6009136870,0.0000000000,0.0532418236,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1960000000,98,322.6376265546,0,1.4725374649,,0.4024554492,False,0.0000000000,0.3443582900,0.0000000000,0.4617312953,0.5408414149,0.0000000000,0.0539663873,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1980000000,99,322.8435927242,0,1.3078412595,,0.4062798390,False,0.0000000000,0.3478991629,0.0000000000,0.4614977388,0.4887055318,0.0000000000,0.0546918798,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2000000000,100,323.0466252940,0,1.2277156969,,0.4101001230,False,0.0000000000,0.3514413082,0.0000000000,0.4612539966,0.4427829081,0.0000000000,0.0554171029,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2020000000,101,323.2445171786,0,1.2171183873,,0.4139161434,False,0.0000000000,0.3549843436,0.0000000000,0.4610017735,0.4018878753,0.0000000000,0.0561410097,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2040000000,102,323.4359922686,0,1.2612156412,,0.4177277699,False,0.0000000000,0.3585278215,0.0000000000,0.4607428166,0.3651736794,0.0000000000,0.0568626924,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2060000000,103,323.6204151486,0,1.3373601196,,0.4215348954,False,0.0000000000,0.3620712836,0.0000000000,0.4604788367,0.3320230817,0.0000000000,0.0575813829,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2080000000,104,323.7975999674,0,1.4260837936,,0.4253374317,False,0.0000000000,0.3656142846,0.0000000000,0.4602114756,0.3019545978,0.0000000000,0.0582964465,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2100000000,105,323.9676984052,0,1.5135504963,,0.4291353070,False,0.0000000000,0.3691564246,0.0000000000,0.4599414878,0.2746275992,0.0000000000,0.0590073731,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2120000000,106,324.1311260376,0,1.5981458304,,0.4329284387,False,0.0000000000,0.3726973384,0.0000000000,0.4596704576,0.2497350052,0.0000000000,0.0597137565,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2140000000,107,324.2884698245,0,1.6618498630,,0.4367167864,False,0.0000000000,0.3762367239,0.0000000000,0.4593998265,0.2270474414,0.0000000000,0.0604153087,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2160000000,108,324.4403019039,0,1.7122374421,,0.4405003184,False,0.0000000000,0.3797743193,0.0000000000,0.4591309170,0.2063490082,0.0000000000,0.0611118280,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2180000000,109,324.5872491832,0,1.7492982006,,0.4442790107,False,0.0000000000,0.3833099066,0.0000000000,0.4588648628,0.1874691746,0.0000000000,0.0618031878,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2200000000,110,324.7297823547,0,1.7787120213,,0.4480528306,False,0.0000000000,0.3868432921,0.0000000000,0.4586027532,0.1702692616,0.0000000000,0.0624893201,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2220000000,111,324.8685439466,0,1.7916246227,,0.4518217667,False,0.0000000000,0.3903743363,0.0000000000,0.4583455394,0.1545954442,0.0000000000,0.0631702210,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2240000000,112,325.0042226081,0,1.7951976710,,0.4555858118,False,0.0000000000,0.3939029285,0.0000000000,0.4580940454,0.1403171169,0.0000000000,0.0638459329,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2260000000,113,325.1374194076,0,1.7909361008,,0.4593449627,False,0.0000000000,0.3974289833,0.0000000000,0.4578489773,0.1273158634,0.0000000000,0.0645165365,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2280000000,114,325.2686672828,0,1.7802971640,,0.4630992189,False,0.0000000000,0.4009524372,0.0000000000,0.4576109303,0.1154838018,0.0000000000,0.0651821448,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.2300000000,115,325.3984564592,0,1.7647338033,,0.4668485829,False,0.0000000000,0.4044732446,0.0000000000,0.4573803966,0.1047226698,0.0000000000,0.0658428966,0.0000000000,0,0,0,False
